Date : 2022-08-01 10:22:10
Directory : /home/hsnt/Documents/Docker/RiDX/core
Total : 842 files,  67334 codes, 2993 comments, 5290 blanks, all 75617 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| web/src/pages/risk-monitoring/monitoring/$id/update/attack_graph/components/EditorItemPanel                                                                   |          3 |         51 |         10 |          7 |         68 |
| web/src/pages/risk-monitoring/monitoring/$id/update/attack_graph/components/EditorMinimap                                                                     |          1 |          8 |          0 |          3 |         11 |
| web/src/pages/risk-monitoring/monitoring/$id/update/attack_graph/components/EditorToolbar                                                                     |          4 |         78 |          6 |         14 |         98 |
| web/src/pages/risk-monitoring/monitoring/$id/update/countermeasures                                                                                           |          2 |        225 |          3 |         19 |        247 |
| web/src/pages/risk-monitoring/monitoring/$id/update/vulnerability-analysis                                                                                    |          4 |        250 |         35 |         28 |        313 |
| web/src/pages/risk-monitoring/monitoring/$id/update/vulnerability-analysis/components                                                                         |          2 |        144 |         35 |         16 |        195 |
| web/src/pages/risk-monitoring/monitoring/$id/update/vulnerability-setting                                                                                     |          4 |        355 |         35 |         35 |        425 |
| web/src/pages/risk-monitoring/monitoring/$id/update/vulnerability-setting/components                                                                          |          2 |        253 |         35 |         23 |        311 |
| web/src/pages/risk-monitoring/update_attack_graph                                                                                                             |         36 |      2,321 |         94 |        218 |      2,633 |
| web/src/pages/risk-monitoring/update_attack_graph/assessment                                                                                                  |          1 |        463 |         24 |         17 |        504 |
| web/src/pages/risk-monitoring/update_attack_graph/attack_graph                                                                                                |         21 |        633 |         59 |         86 |        778 |
| web/src/pages/risk-monitoring/update_attack_graph/attack_graph/common                                                                                         |          1 |          5 |          0 |          1 |          6 |
| web/src/pages/risk-monitoring/update_attack_graph/attack_graph/common/IconFont                                                                                |          1 |          5 |          0 |          1 |          6 |
| web/src/pages/risk-monitoring/update_attack_graph/attack_graph/components                                                                                     |         16 |        411 |         51 |         62 |        524 |
| web/src/pages/risk-monitoring/update_attack_graph/attack_graph/components/EditorContextMenu                                                                   |          4 |         85 |          0 |         15 |        100 |
| web/src/pages/risk-monitoring/update_attack_graph/attack_graph/components/EditorDetailPanel                                                                   |          4 |        201 |         25 |         23 |        249 |
| web/src/pages/risk-monitoring/update_attack_graph/attack_graph/components/EditorItemPanel                                                                     |          3 |         39 |         20 |          7 |         66 |
| web/src/pages/risk-monitoring/update_attack_graph/attack_graph/components/EditorMinimap                                                                       |          1 |          8 |          0 |          3 |         11 |
| web/src/pages/risk-monitoring/update_attack_graph/attack_graph/components/EditorToolbar                                                                       |          4 |         78 |          6 |         14 |         98 |
| web/src/pages/risk-monitoring/update_attack_graph/countermeasures                                                                                             |          2 |        225 |          3 |         19 |        247 |
| web/src/pages/risk-monitoring/update_attack_graph/vulnerability-analysis                                                                                      |          4 |        244 |          0 |         30 |        274 |
| web/src/pages/risk-monitoring/update_attack_graph/vulnerability-analysis/components                                                                           |          2 |        139 |          0 |         18 |        157 |
| web/src/pages/risk-monitoring/update_attack_graph/vulnerability-setting                                                                                       |          4 |        389 |          0 |         35 |        424 |
| web/src/pages/risk-monitoring/update_attack_graph/vulnerability-setting/components                                                                            |          2 |        287 |          0 |         23 |        310 |
| web/src/pages/system-profiles                                                                                                                                 |         24 |      2,837 |        102 |        156 |      3,095 |
| web/src/pages/system-profiles/$id                                                                                                                             |          3 |         77 |          6 |         15 |         98 |
| web/src/pages/system-profiles/components                                                                                                                      |          3 |        305 |          8 |         24 |        337 |
| web/src/pages/system-profiles/dashboard                                                                                                                       |         12 |      2,023 |         84 |         89 |      2,196 |
| web/src/pages/system-profiles/dashboard/components                                                                                                            |          5 |        510 |         80 |         20 |        610 |
| web/src/pages/system-profiles/dashboard/utils                                                                                                                 |          3 |        111 |          3 |         18 |        132 |
| web/src/pages/system-profiles/list                                                                                                                            |          6 |        432 |          4 |         28 |        464 |
| web/src/pages/system-profiles/list/components                                                                                                                 |          2 |        158 |          0 |          6 |        164 |
| web/src/pages/user                                                                                                                                            |          8 |        574 |         11 |         62 |        647 |
| web/src/pages/user/Login                                                                                                                                      |          2 |        171 |         10 |         19 |        200 |
| web/src/pages/user/register                                                                                                                                   |          4 |        347 |          1 |         39 |        387 |
| web/src/pages/user/register-result                                                                                                                            |          2 |         56 |          0 |          4 |         60 |
| web/src/services                                                                                                                                              |          3 |        112 |         20 |         20 |        152 |
| web/src/shared                                                                                                                                                |          4 |        532 |          0 |         40 |        572 |
| web/tests                                                                                                                                                     |          5 |        140 |         24 |         26 |        190 |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                                      | language           | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /home/hsnt/Documents/Docker/RiDX/core/server/app/__init__.py                                                                                                  | Python             |          0 |          0 |          1 |          1 |
| /home/hsnt/Documents/Docker/RiDX/core/server/app/config/__init__.py                                                                                           | Python             |          0 |          0 |          1 |          1 |
| /home/hsnt/Documents/Docker/RiDX/core/server/app/config/auth.py                                                                                               | Python             |         19 |          0 |          8 |         27 |
| /home/hsnt/Documents/Docker/RiDX/core/server/app/config/database.py                                                                                           | Python             |          5 |          0 |          4 |          9 |
| /home/hsnt/Documents/Docker/RiDX/core/server/app/config/env.py                                                                                                | Python             |         12 |          0 |          5 |         17 |
| /home/hsnt/Documents/Docker/RiDX/core/server/app/config/http_status.py                                                                                        | Python             |         15 |          0 |          5 |         20 |
| /home/hsnt/Documents/Docker/RiDX/core/server/app/handle/__init__.py                                                                                           | Python             |          0 |          0 |          1 |          1 |
| /home/hsnt/Documents/Docker/RiDX/core/server/app/handle/error_message.py                                                                                      | Python             |         17 |          0 |          3 |         20 |
| /home/hsnt/Documents/Docker/RiDX/core/server/app/handle/exception.py                                                                                          | Python             |         24 |          0 |          6 |         30 |
| /home/hsnt/Documents/Docker/RiDX/core/server/app/helper/__init__.py                                                                                           | Python             |          0 |          0 |          1 |          1 |
| /home/hsnt/Documents/Docker/RiDX/core/server/app/helper/base.py                                                                                               | Python             |         89 |          0 |         16 |        105 |
| /home/hsnt/Documents/Docker/RiDX/core/server/app/helper/cpe.py                                                                                                | Python             |         44 |          2 |         14 |         60 |
| /home/hsnt/Documents/Docker/RiDX/core/server/app/model/__init__.py                                                                                            | Python             |          0 |          0 |          1 |          1 |
| /home/hsnt/Documents/Docker/RiDX/core/server/app/model/asset.py                                                                                               | Python             |         37 |          7 |         19 |         63 |
| /home/hsnt/Documents/Docker/RiDX/core/server/app/model/auth.py                                                                                                | Python             |          8 |          0 |          4 |         12 |
| /home/hsnt/Documents/Docker/RiDX/core/server/app/model/base.py                                                                                                | Python             |         18 |          0 |          7 |         25 |
| /home/hsnt/Documents/Docker/RiDX/core/server/app/model/countermeasure.py                                                                                      | Python             |         22 |          2 |         11 |         35 |
| /home/hsnt/Documents/Docker/RiDX/core/server/app/model/cpe.py                                                                                                 | Python             |          6 |          0 |          4 |         10 |
| /home/hsnt/Documents/Docker/RiDX/core/server/app/model/cve.py                                                                                                 | Python             |          8 |          7 |          4 |         19 |
| /home/hsnt/Documents/Docker/RiDX/core/server/app/model/cwe.py                                                                                                 | Python             |          8 |          0 |          3 |         11 |
| /home/hsnt/Documents/Docker/RiDX/core/server/app/model/deployment_scenario.py                                                                                 | Python             |        115 |          0 |         39 |        154 |
| /home/hsnt/Documents/Docker/RiDX/core/server/app/model/risk_assessment.py                                                                                     | Python             |         10 |          0 |          6 |         16 |
| /home/hsnt/Documents/Docker/RiDX/core/server/app/model/risk_monitoring.py                                                                                     | Python             |         16 |          0 |          7 |         23 |
| /home/hsnt/Documents/Docker/RiDX/core/server/app/model/system_profile.py                                                                                      | Python             |         14 |          0 |          8 |         22 |
| /home/hsnt/Documents/Docker/RiDX/core/server/app/model/user.py                                                                                                | Python             |         13 |          0 |          7 |         20 |
| /home/hsnt/Documents/Docker/RiDX/core/server/app/repository/__init__.py                                                                                       | Python             |          0 |          0 |          1 |          1 |
| /home/hsnt/Documents/Docker/RiDX/core/server/app/repository/assets.py                                                                                         | Python             |         21 |          0 |          8 |         29 |
| /home/hsnt/Documents/Docker/RiDX/core/server/app/repository/auth.py                                                                                           | Python             |         12 |          0 |          3 |         15 |
| /home/hsnt/Documents/Docker/RiDX/core/server/app/repository/base.py                                                                                           | Python             |         67 |          0 |          8 |         75 |
| /home/hsnt/Documents/Docker/RiDX/core/server/app/repository/countermeasure.py                                                                                 | Python             |         21 |          0 |          8 |         29 |
| /home/hsnt/Documents/Docker/RiDX/core/server/app/repository/cpe.py                                                                                            | Python             |         20 |          0 |          8 |         28 |
| /home/hsnt/Documents/Docker/RiDX/core/server/app/repository/cves.py                                                                                           | Python             |         13 |          0 |          6 |         19 |
| /home/hsnt/Documents/Docker/RiDX/core/server/app/repository/cwes.py                                                                                           | Python             |         13 |          0 |          5 |         18 |
| /home/hsnt/Documents/Docker/RiDX/core/server/app/repository/deployment_scenario.py                                                                            | Python             |         55 |          1 |         16 |         72 |
| /home/hsnt/Documents/Docker/RiDX/core/server/app/repository/risk_assessment.py                                                                                | Python             |         23 |          0 |          9 |         32 |
| /home/hsnt/Documents/Docker/RiDX/core/server/app/repository/risk_monitoring.py                                                                                | Python             |         23 |          0 |          9 |         32 |
| /home/hsnt/Documents/Docker/RiDX/core/server/app/repository/system_profile.py                                                                                 | Python             |         21 |          0 |          8 |         29 |
| /home/hsnt/Documents/Docker/RiDX/core/server/app/repository/user.py                                                                                           | Python             |         32 |          0 |         10 |         42 |
| /home/hsnt/Documents/Docker/RiDX/core/server/app/router/__init__.py                                                                                           | Python             |         13 |          0 |          0 |         13 |
| /home/hsnt/Documents/Docker/RiDX/core/server/app/router/admin.py                                                                                              | Python             |         36 |          0 |          8 |         44 |
| /home/hsnt/Documents/Docker/RiDX/core/server/app/router/assessments.py                                                                                        | Python             |         81 |          1 |         10 |         92 |
| /home/hsnt/Documents/Docker/RiDX/core/server/app/router/asset.py                                                                                              | Python             |         85 |          0 |         15 |        100 |
| /home/hsnt/Documents/Docker/RiDX/core/server/app/router/auth.py                                                                                               | Python             |         73 |          0 |         15 |         88 |
| /home/hsnt/Documents/Docker/RiDX/core/server/app/router/base.py                                                                                               | Python             |         66 |          0 |         15 |         81 |
| /home/hsnt/Documents/Docker/RiDX/core/server/app/router/countermeasure.py                                                                                     | Python             |         54 |          0 |         11 |         65 |
| /home/hsnt/Documents/Docker/RiDX/core/server/app/router/cpe.py                                                                                                | Python             |         32 |          0 |          7 |         39 |
| /home/hsnt/Documents/Docker/RiDX/core/server/app/router/cves.py                                                                                               | Python             |         25 |          0 |          7 |         32 |
| /home/hsnt/Documents/Docker/RiDX/core/server/app/router/cwes.py                                                                                               | Python             |         25 |          0 |          7 |         32 |
| /home/hsnt/Documents/Docker/RiDX/core/server/app/router/deployment_scenario.py                                                                                | Python             |        829 |         14 |        130 |        973 |
| /home/hsnt/Documents/Docker/RiDX/core/server/app/router/helper.py                                                                                             | Python             |         18 |          0 |          3 |         21 |
| /home/hsnt/Documents/Docker/RiDX/core/server/app/router/risk_assessment.py                                                                                    | Python             |         70 |          0 |         18 |         88 |
| /home/hsnt/Documents/Docker/RiDX/core/server/app/router/risk_monitoring.py                                                                                    | Python             |        165 |          0 |         30 |        195 |
| /home/hsnt/Documents/Docker/RiDX/core/server/app/router/system_profile.py                                                                                     | Python             |        103 |          0 |         23 |        126 |
| /home/hsnt/Documents/Docker/RiDX/core/server/app/router/test_roter.py                                                                                         | Python             |          0 |          0 |          1 |          1 |
| /home/hsnt/Documents/Docker/RiDX/core/server/app/services/__init__.py                                                                                         | Python             |          0 |          0 |          1 |          1 |
| /home/hsnt/Documents/Docker/RiDX/core/server/app/services/cve.py                                                                                              | Python             |         45 |          0 |          4 |         49 |
| /home/hsnt/Documents/Docker/RiDX/core/server/app/services/graph.py                                                                                            | Python             |         53 |          0 |         12 |         65 |
| /home/hsnt/Documents/Docker/RiDX/core/server/app/services/nvd.py                                                                                              | Python             |          9 |          0 |          6 |         15 |
| /home/hsnt/Documents/Docker/RiDX/core/server/core/__init__.py                                                                                                 | Python             |          0 |          0 |          1 |          1 |
| /home/hsnt/Documents/Docker/RiDX/core/server/core/attack_graph/__init__.py                                                                                    | Python             |          0 |          0 |          1 |          1 |
| /home/hsnt/Documents/Docker/RiDX/core/server/core/attack_graph/main.py                                                                                        | Python             |        127 |         33 |         24 |        184 |
| /home/hsnt/Documents/Docker/RiDX/core/server/core/attack_graph/model/__init__.py                                                                              | Python             |          0 |          0 |          1 |          1 |
| /home/hsnt/Documents/Docker/RiDX/core/server/core/attack_graph/model/attack_vector.py                                                                         | Python             |          7 |          0 |          5 |         12 |
| /home/hsnt/Documents/Docker/RiDX/core/server/core/attack_graph/model/node.py                                                                                  | Python             |         28 |          0 |         17 |         45 |
| /home/hsnt/Documents/Docker/RiDX/core/server/core/attack_graph/model/privilege.py                                                                             | Python             |          7 |          0 |          5 |         12 |
| /home/hsnt/Documents/Docker/RiDX/core/server/core/attack_graph/model/vulnerability.py                                                                         | Python             |         12 |          0 |          5 |         17 |
| /home/hsnt/Documents/Docker/RiDX/core/server/core/attack_graph/sample.json                                                                                    | JSON               |      1,895 |          0 |          1 |      1,896 |
| /home/hsnt/Documents/Docker/RiDX/core/server/core/attack_graph/utils/__init__.py                                                                              | Python             |          0 |          0 |          1 |          1 |
| /home/hsnt/Documents/Docker/RiDX/core/server/core/attack_graph/utils/helper.py                                                                                | Python             |          4 |          0 |          5 |          9 |
| /home/hsnt/Documents/Docker/RiDX/core/server/core/bayes/__init__.py                                                                                           | Python             |          0 |          0 |          1 |          1 |
| /home/hsnt/Documents/Docker/RiDX/core/server/core/bayes/helper/__init__.py                                                                                    | Python             |          0 |          0 |          1 |          1 |
| /home/hsnt/Documents/Docker/RiDX/core/server/core/bayes/helper/hepler.py                                                                                      | Python             |         18 |          1 |          4 |         23 |
| /home/hsnt/Documents/Docker/RiDX/core/server/core/bayes/main.py                                                                                               | Python             |        136 |          0 |          1 |        137 |
| /home/hsnt/Documents/Docker/RiDX/core/server/core/bayes/model/__init__.py                                                                                     | Python             |          0 |          0 |          1 |          1 |
| /home/hsnt/Documents/Docker/RiDX/core/server/core/bayes/model/inetwork.py                                                                                     | Python             |        544 |         24 |         68 |        636 |
| /home/hsnt/Documents/Docker/RiDX/core/server/core/bayes/model/network.py                                                                                      | Python             |        262 |         25 |         39 |        326 |
| /home/hsnt/Documents/Docker/RiDX/core/server/core/bayes/model/node.py                                                                                         | Python             |         70 |          1 |         18 |         89 |
| /home/hsnt/Documents/Docker/RiDX/core/server/core/bayes/requirements.txt                                                                                      | pip requirements   |         24 |          0 |          1 |         25 |
| /home/hsnt/Documents/Docker/RiDX/core/server/core/bayes/sample_data.json                                                                                      | JSON               |          1 |          0 |          0 |          1 |
| /home/hsnt/Documents/Docker/RiDX/core/server/core/bayes/t.py                                                                                                  | Python             |          0 |        147 |         42 |        189 |
| /home/hsnt/Documents/Docker/RiDX/core/server/core/bayes/test.py                                                                                               | Python             |         95 |          0 |         31 |        126 |
| /home/hsnt/Documents/Docker/RiDX/core/server/core/bayes/test_2.py                                                                                             | Python             |          6 |          2 |          5 |         13 |
| /home/hsnt/Documents/Docker/RiDX/core/server/core/crawl/__init__.py                                                                                           | Python             |          0 |          0 |          1 |          1 |
| /home/hsnt/Documents/Docker/RiDX/core/server/core/crawl/default/__init__.py                                                                                   | Python             |          0 |          0 |          1 |          1 |
| /home/hsnt/Documents/Docker/RiDX/core/server/core/crawl/default/cpe.json                                                                                      | JSON               |          1 |          0 |          0 |          1 |
| /home/hsnt/Documents/Docker/RiDX/core/server/core/crawl/default/cwes.json                                                                                     | JSON               |        776 |          0 |          0 |        776 |
| /home/hsnt/Documents/Docker/RiDX/core/server/core/crawl/src/Untitled-1.ipynb                                                                                  | JSON               |        227 |          0 |          1 |        228 |
| /home/hsnt/Documents/Docker/RiDX/core/server/core/crawl/src/__init__.py                                                                                       | Python             |          0 |          0 |          1 |          1 |
| /home/hsnt/Documents/Docker/RiDX/core/server/core/crawl/src/hepler/__init__.py                                                                                | Python             |          0 |          0 |          1 |          1 |
| /home/hsnt/Documents/Docker/RiDX/core/server/core/crawl/src/hepler/io.py                                                                                      | Python             |          9 |          0 |          3 |         12 |
| /home/hsnt/Documents/Docker/RiDX/core/server/core/crawl/src/hepler/parser_helper.py                                                                           | Python             |         35 |          0 |         13 |         48 |
| /home/hsnt/Documents/Docker/RiDX/core/server/core/crawl/src/hepler/unzip_helper.py                                                                            | Python             |          4 |          0 |          1 |          5 |
| /home/hsnt/Documents/Docker/RiDX/core/server/core/crawl/src/import_data.py                                                                                    | Python             |         85 |         11 |         14 |        110 |
| /home/hsnt/Documents/Docker/RiDX/core/server/core/crawl/src/main.py                                                                                           | Python             |        146 |          4 |         19 |        169 |
| /home/hsnt/Documents/Docker/RiDX/core/server/core/crawl/src/model/__init__.py                                                                                 | Python             |          0 |          0 |          1 |          1 |
| /home/hsnt/Documents/Docker/RiDX/core/server/core/crawl/src/model/cpe.py                                                                                      | Python             |        150 |         23 |         29 |        202 |
| /home/hsnt/Documents/Docker/RiDX/core/server/core/crawl/src/model/cve.py                                                                                      | Python             |         52 |          0 |         20 |         72 |
| /home/hsnt/Documents/Docker/RiDX/core/server/core/crawl/src/model/cwe.py                                                                                      | Python             |          0 |          0 |          1 |          1 |
| /home/hsnt/Documents/Docker/RiDX/core/server/core/crawl/src/parser/__init__.py                                                                                | Python             |          0 |          0 |          1 |          1 |
| /home/hsnt/Documents/Docker/RiDX/core/server/core/crawl/src/parser/cpe.py                                                                                     | Python             |          0 |          0 |          1 |          1 |
| /home/hsnt/Documents/Docker/RiDX/core/server/core/crawl/src/parser/cve.py                                                                                     | Python             |        352 |         21 |         46 |        419 |
| /home/hsnt/Documents/Docker/RiDX/core/server/core/crawl/src/parser/priv.py                                                                                    | Python             |        257 |         13 |         30 |        300 |
| /home/hsnt/Documents/Docker/RiDX/core/server/core/crawl/src/pretreatment/__init__.py                                                                          | Python             |          0 |          0 |          1 |          1 |
| /home/hsnt/Documents/Docker/RiDX/core/server/core/crawl/src/pretreatment/download.py                                                                          | Python             |         45 |          0 |         14 |         59 |
| /home/hsnt/Documents/Docker/RiDX/core/server/core/crawl/src/pretreatment/unzip.py                                                                             | Python             |         30 |          0 |          7 |         37 |
| /home/hsnt/Documents/Docker/RiDX/core/server/cve.ipynb                                                                                                        | JSON               |         69 |          0 |          1 |         70 |
| /home/hsnt/Documents/Docker/RiDX/core/server/entity.sh                                                                                                        | Shell Script       |          6 |          1 |          0 |          7 |
| /home/hsnt/Documents/Docker/RiDX/core/server/main.py                                                                                                          | Python             |        138 |          6 |         26 |        170 |
| /home/hsnt/Documents/Docker/RiDX/core/server/requirements.txt                                                                                                 | pip requirements   |         34 |          0 |          1 |         35 |
| /home/hsnt/Documents/Docker/RiDX/core/server/scenarios/__init__.py                                                                                            | Python             |          0 |          0 |          1 |          1 |
| /home/hsnt/Documents/Docker/RiDX/core/server/scenarios/sample_data.json                                                                                       | JSON               |        803 |          0 |          0 |        803 |
| /home/hsnt/Documents/Docker/RiDX/core/server/scenarios/scenario_1.json                                                                                        | JSON               |        130 |          0 |          0 |        130 |
| /home/hsnt/Documents/Docker/RiDX/core/server/scenarios/scenario_2.json                                                                                        | JSON               |        130 |          0 |          0 |        130 |
| /home/hsnt/Documents/Docker/RiDX/core/server/test.json                                                                                                        | JSON               |        597 |          0 |          0 |        597 |
| /home/hsnt/Documents/Docker/RiDX/core/server/test.py                                                                                                          | Python             |         12 |          0 |          2 |         14 |
| /home/hsnt/Documents/Docker/RiDX/core/web/.eslintrc.js                                                                                                        | JavaScript         |          8 |          0 |          1 |          9 |
| /home/hsnt/Documents/Docker/RiDX/core/web/.prettierrc.js                                                                                                      | JavaScript         |          4 |          0 |          2 |          6 |
| /home/hsnt/Documents/Docker/RiDX/core/web/.stylelintrc.js                                                                                                     | JavaScript         |          4 |          0 |          2 |          6 |
| /home/hsnt/Documents/Docker/RiDX/core/web/README.md                                                                                                           | Markdown           |         36 |          0 |         22 |         58 |
| /home/hsnt/Documents/Docker/RiDX/core/web/config/config.dev.js                                                                                                | JavaScript         |         11 |          3 |          1 |         15 |
| /home/hsnt/Documents/Docker/RiDX/core/web/config/config.js                                                                                                    | JavaScript         |         50 |         22 |          1 |         73 |
| /home/hsnt/Documents/Docker/RiDX/core/web/config/defaultSettings.js                                                                                           | JavaScript         |         14 |          0 |          3 |         17 |
| /home/hsnt/Documents/Docker/RiDX/core/web/config/oneapi.json                                                                                                  | JSON               |        593 |          0 |          1 |        594 |
| /home/hsnt/Documents/Docker/RiDX/core/web/config/proxy.js                                                                                                     | JavaScript         |         29 |          8 |          1 |         38 |
| /home/hsnt/Documents/Docker/RiDX/core/web/config/routes.js                                                                                                    | JavaScript         |        169 |         40 |          1 |        210 |
| /home/hsnt/Documents/Docker/RiDX/core/web/dist/136.6dd0be76.async.js                                                                                          | JavaScript         |          1 |          0 |          1 |          2 |
| /home/hsnt/Documents/Docker/RiDX/core/web/dist/181.28f34203.async.js                                                                                          | JavaScript         |         72 |         36 |          1 |        109 |
| /home/hsnt/Documents/Docker/RiDX/core/web/dist/210.b1096dbc.async.js                                                                                          | JavaScript         |          3 |          0 |          1 |          4 |
| /home/hsnt/Documents/Docker/RiDX/core/web/dist/356.8760706c.async.js                                                                                          | JavaScript         |         54 |         36 |          1 |         91 |
| /home/hsnt/Documents/Docker/RiDX/core/web/dist/396.75446139.async.js                                                                                          | JavaScript         |          1 |          0 |          1 |          2 |
| /home/hsnt/Documents/Docker/RiDX/core/web/dist/529.30841822.chunk.css                                                                                         | CSS                |          1 |          0 |          0 |          1 |
| /home/hsnt/Documents/Docker/RiDX/core/web/dist/529.4d2dd6b1.async.js                                                                                          | JavaScript         |          1 |          0 |          1 |          2 |
| /home/hsnt/Documents/Docker/RiDX/core/web/dist/532.776d6455.async.js                                                                                          | JavaScript         |          1 |          0 |          1 |          2 |
| /home/hsnt/Documents/Docker/RiDX/core/web/dist/568.7cf136b9.async.js                                                                                          | JavaScript         |          1 |          0 |          1 |          2 |
| /home/hsnt/Documents/Docker/RiDX/core/web/dist/594.bfe69094.async.js                                                                                          | JavaScript         |          1 |          0 |          1 |          2 |
| /home/hsnt/Documents/Docker/RiDX/core/web/dist/594.e0179a0a.chunk.css                                                                                         | CSS                |          1 |          0 |          0 |          1 |
| /home/hsnt/Documents/Docker/RiDX/core/web/dist/670.1898572c.async.js                                                                                          | JavaScript         |         11 |          0 |          1 |         12 |
| /home/hsnt/Documents/Docker/RiDX/core/web/dist/670.c9da5a50.chunk.css                                                                                         | CSS                |          1 |          0 |          0 |          1 |
| /home/hsnt/Documents/Docker/RiDX/core/web/dist/742.ac1dad8a.async.js                                                                                          | JavaScript         |          2 |          0 |          1 |          3 |
| /home/hsnt/Documents/Docker/RiDX/core/web/dist/756.664d70bb.async.js                                                                                          | JavaScript         |          1 |          0 |          1 |          2 |
| /home/hsnt/Documents/Docker/RiDX/core/web/dist/77.d97aceac.async.js                                                                                           | JavaScript         |          2 |          5 |          1 |          8 |
| /home/hsnt/Documents/Docker/RiDX/core/web/dist/771.1cd5583e.async.js                                                                                          | JavaScript         |          3 |         12 |          1 |         16 |
| /home/hsnt/Documents/Docker/RiDX/core/web/dist/798.3d035fef.chunk.css                                                                                         | CSS                |          2 |          0 |          0 |          2 |
| /home/hsnt/Documents/Docker/RiDX/core/web/dist/799.8f6a8fef.async.js                                                                                          | JavaScript         |          1 |          0 |          1 |          2 |
| /home/hsnt/Documents/Docker/RiDX/core/web/dist/822.cdd9467d.async.js                                                                                          | JavaScript         |         25 |         12 |          1 |         38 |
| /home/hsnt/Documents/Docker/RiDX/core/web/dist/831.455627f0.async.js                                                                                          | JavaScript         |          2 |          0 |          1 |          3 |
| /home/hsnt/Documents/Docker/RiDX/core/web/dist/831.605f018e.chunk.css                                                                                         | CSS                |          2 |          0 |          0 |          2 |
| /home/hsnt/Documents/Docker/RiDX/core/web/dist/87.57840d21.async.js                                                                                           | JavaScript         |         45 |          7 |          2 |         54 |
| /home/hsnt/Documents/Docker/RiDX/core/web/dist/87.d85a5e28.chunk.css                                                                                          | CSS                |          1 |          0 |          0 |          1 |
| /home/hsnt/Documents/Docker/RiDX/core/web/dist/905.69e3f7c7.chunk.css                                                                                         | CSS                |          1 |          0 |          0 |          1 |
